census_tract;bbl;address;lot;building;entire_vacant;num_floors;num_residential;num_commercial;sealed;sealedtype;possible_vacant;damage_;rent_or_sale;contact_info;construction;occupation;park_use;num_park_floors;cnc_ou_br;num_floors_nc;num_commercial_nc;num_residential_nc;contact_info_nc;num_floors_ic;num_commercial_ic;num_residential_ic;luxury;rent_or_sale_ic;contact_info_ic;obs
389;3031340018;28 PARK STREET;;;;;;;;;;;;;;;;;1;2;;;28 Park Realty LLC 1299 Lee Ave South Suite 1000 Bklyn NY 11211;;;;;;;
389;3031340019;30 PARK STREET;;;;;;;;;;;;;;;;;1;2;;;28 Park Realty LLC 1299 Lee Ave South Suite 1000 Bklyn NY 11211;;;;;;;
389;3031340021;40 PARK STREET;;4;1;4;;;1;1;;;;;;;;;;;;;;;;;;;;
389;3031330018;344 ELLERY STREET;2;;;;;;;;;;;;;;;;;;;;BJ HOLDINGS LLC;;;;;;;
389;3031330020;350 ELLERY STREET;2;;;;;;;;;;;;;;;;;;;;RBH HOLDINGS NYC 100A BROUDWAY STE 230 BROOKLYN NY 11249 718-302-9641;;;;;;;
389;3031320008;797 BROADWAY;;3;2;4;2;2;1;5;;2;;;;;;;;;;;;;;;;;;
389;3031310037;27 FAYETTE STREET;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031320021;32 FAYETTE STREET;;;;;;;;;;;;;;;;;1;9;9;;7be LLC 212-221-5000;;;;;;;
389;3031320001;815 BROADWAY;;4;1;5;;5;1;2;;;1;RIPCONY.COM;;;;;;;;;;;;;;;;
389;3031310023;802 FLUSHING AVENUE;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031310005;781 BROADWAY;;1;2;3;2;1;1;5;;;;;;;;;;;;;;;;;;;;
389;3031310004;783 BROADWAY;;1;2;3;2;1;1;5;;;;;;;;;;;;;;;;;;;;
389;3031310003;785 BROADWAY;;1;2;3;2;1;1;5;;;;;;;;;;;;;;;;;;;;
389;3031380018;17 GARDEN STREET;;;;;;;;;;;;;;;;;2;3;;3;JYR DEVELOPMENT LLC;;;;;;;
389;3031380040;478 BUSHWICK AVENUE;;;;;;;;;;;;;;;;;2;2;2;;;;;;;;;
389;3031700039;15 TROUTMAN STREET;;;;;;;;;;;;;;;;;2;4;;4;GOBINS GBH AND R CONSTRUCTION;;;;;;;
389;3031700005;1165 MYRTLE AVENUE;;;;;;;;;;;;;;;;;;3;1;2;;;;;;;;
389;3031700008;1159 MYRTLE AVENUE;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031600001;939 BROADWAY;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031700018;18 JEFFERSON STREET;;;;;;;;;;;;;;;;;1;4;;4;38 BEHATZLAHA CORP;;;;;;;
389;3031700019;20 JEFFERSON STREET;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031500039;29 MELROSE STREET;;;;;;;;;;;;;;;;;2;2;;2;CORCORAN REALTY;;;;;;;
389;3031600013;18 MELROSE STREET;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031500046;13 MELROSE STREET;;;;;;;;;;;;;;;;;1;4;;4;APTSANDLOFTS.COM;;;;;;;
389;3031500001;923 BROADWAY;;;;;;;;;;;;;;;;;1;3;;3;AMBROSINO CONST SORP;;;;;;;
389;3031500005;913 BROADWAY;;3;2;3;2;1;1;5;;2;;;;;;;;;;;;;;;;;;
389;3031500006;911 BROADWAY;;3;2;3;2;1;2;;;;1;NOOKLYN 347-318-3595;;;;;;;;;;;;;;;;
389;3031500026;574 BUSHWICK AVENUE;;;;;;;;;;;;;;;;;2;4;;4;RUBEN PENA 718-387-1998;;;;;;;
389;3031500025;36 ARION PLACE;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031360002;897 BROADWAY;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031350036;21 BELVEDERE STREET;;;;;;;;;;;;;;;;;;;;;;4;2;2;;;;
389;3031360019;26 BELVEDERE STREET;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031360021;32 BELVEDERE STREET;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031360024;36 BELVEDERE STREET;;;;;;;;;;;;;;;;;;;;;;4;;;;1;DAN 646-327-1600;
389;3031350016;28 LOCUST STREET;;;;;;;;;;;;;;;;;;;;;;4;;4;;;;
389;3031350008;861 BROADWAY;;;;;;;;;;;;;;;;;2;4;1;3;718-302-2171;;;;;;;
389;3031350007;863 BROADWAY;;;;;;;;;;;;;;;;;2;4;1;3;718-302-2171;;;;;;;
389;3031340006;839 BROADWAY;;3;2;3;2;1;1;2;;2;1;GARRY STEINBERG 212-776-1285;;;;;;;;;;;;;;;;
389;3031340010;12 PARK STREET;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031370009;534 BUSHWICK AVENUE;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031370011;90 BEAVER STREET;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031370006;540 BUSHWICK AVE;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031370001;544 BUSHWICK AVENUE;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031360022;BELVEDERE STRREET;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031500025;ARION PLACE;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;3031700009;1157 MYRTLE AVENUE;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
391;3031620001;6 STANWIX STREET;;3;2;4;2;2;2;;;3;2;TRI STATE CONTRACTING (917) 826 7743;2;1;;;;;;;;;;;;;;
391;3031830013;22 TROUTMAN STREET;;;;;;;;;;;;;;;;;1;3;;;JOE SOO/ DINE REALTY LLC;;;;;;;
391;3031710065;39 TROUTMAN STREET;;;;;;;;;;;;;;;;;1;5;;;;;;;;;;
391;3031710002;637 BUSHWICK AVENUE;1;;1;;;;1;3;2;;2;;2;1;;;;;;;;;;;;;;
391;3032060016;212 EVERGREEN AVENUE;;1;1;4;;;1;2;2;2;1;(347)406-20676;1;2;;;;;;;;;;;;;;
391;3031830005;669 BUSHWICK AVENUE;;2;1;5;;;1;3;2;2;1;REGAL BUILDING REALTY;1;2;;;;;;;;;;;;;;
391;3031830063;943 WILLOUGHBY AVENUE;1;;1;;;;;;;;2;;1;2;;;;;;;;;;;;;;
391;3031830066;14 CHARLES PLACE;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;
391;3031830055;949 WILLOUGHBY AVENUE;1;;;;;;1;3;2;2;2;;2;1;;;;;;;;;;;;;;
391;3031630001;105 EVERGREEN AVENUE;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;
391;3031390029;25 MONTIETH STREET;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;
